MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 20:01:17,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,37,0,6.52,18.0,,0 days 01:31:33.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-14 20:01:35,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,38,0,7.21,18.0,,0 days 01:31:51.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-14 20:01:57,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,39,0,9.75,22.0,,0 days 01:32:13.000000000,1.0,0.3666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:02:16,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,40,0,6.46,19.0,,0 days 01:32:32.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:02:37,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,41,0,10.07,21.0,,0 days 01:32:53.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 20:02:56,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,42,0,6.9,19.0,,0 days 01:33:12.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:03:19,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,43,0,10.64,23.0,,0 days 01:33:35.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 20:03:43,1.16.3,Free_feed,4,3.91,2.0,0,Pellet,Left,0,2,44,0,11.47,24.0,,0 days 01:33:59.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-14 20:04:04,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,45,0,10.32,21.0,,0 days 01:34:20.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 20:04:26,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,46,0,10.26,22.0,,0 days 01:34:42.000000000,1.0,0.3666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:30:03,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,47,0,,1537.0,,0 days 02:00:19.000000000,1.0,25.616666666666667,0.0,0.0,,0,Free_feed
2023-09-14 20:39:36,1.16.3,Free_feed,4,3.91,,0,Poke,Left,1,2,47,0,,,0.66,0 days 02:09:52.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 20:40:45,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,1,2,48,0,,642.0,,0 days 02:11:01.000000000,1.0,10.7,0.0,0.0,,0,Free_feed
2023-09-14 20:43:13,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,1,2,49,0,,148.0,,0 days 02:13:29.000000000,1.0,2.466666666666667,0.0,0.0,,0,Free_feed
2023-09-14 20:43:26,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,1,2,50,0,1.45,13.0,,0 days 02:13:42.000000000,1.0,0.2166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:43:38,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,1,2,51,0,0.75,12.0,,0 days 02:13:54.000000000,1.0,0.2,0.0,0.0,,0,Free_feed
2023-09-14 20:43:56,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,1,2,52,0,5.44,18.0,,0 days 02:14:12.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-14 20:44:18,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,1,2,53,0,10.77,22.0,,0 days 02:14:34.000000000,1.0,0.3666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:44:30,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,1,2,54,0,0.06,12.0,,0 days 02:14:46.000000000,1.0,0.2,0.0,0.0,,0,Free_feed
