MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-03-08 22:07:09,1.17.0,FR1,5,3.96,,1,Poke,Left,24,24,24,0,,,0.01,0 days 02:11:54.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:15:15,1.17.0,FR1,5,3.96,,1,Poke,Left,24,25,24,0,,,0.11,0 days 02:20:00.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:15:16,1.17.0,FR1,5,3.96,,1,Poke,Left,24,26,24,0,,,0.0,0 days 02:20:01.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:15:18,1.17.0,FR1,5,3.96,,1,Poke,Left,24,27,24,0,,,0.49,0 days 02:20:03.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:15:20,1.17.0,FR1,5,3.96,,1,Poke,Left,24,28,24,0,,,0.0,0 days 02:20:05.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:15:24,1.17.0,FR1,5,3.96,,1,Poke,Left,24,29,24,0,,,0.0,0 days 02:20:09.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:15:29,1.17.0,FR1,5,3.96,,1,Poke,Left,24,30,24,0,,,0.01,0 days 02:20:14.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:16:03,1.17.0,FR1,5,3.96,,1,Poke,Left,24,31,24,0,,,0.1,0 days 02:20:48.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:16:04,1.17.0,FR1,5,3.96,,1,Poke,Left,24,32,24,0,,,0.32,0 days 02:20:49.000000000,0.0,,0.0,1.0,0.0,0,FR1
2023-03-08 22:16:15,1.17.0,FR1,5,3.96,,1,Poke,Left,24,33,24,0,,,0.12,0 days 02:21:00.000000000,0.0,,0.0,1.0,0.0,0,FR1
