MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 21:32:31,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,36,0,7.83,20.0,,,0 days 03:12:47.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 22:11:05,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,1,3,37,0,,2314.0,,,0 days 03:51:21.000000000,1.0,38.56666666666667,0.0,0.0,,0,Free_feed
2023-09-14 22:11:26,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,38,0,9.47,21.0,,,0 days 03:51:42.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 22:11:52,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,39,0,14.07,26.0,,,0 days 03:52:08.000000000,1.0,0.4333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 22:12:12,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,1,3,40,0,8.25,20.0,,,0 days 03:52:28.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 22:12:36,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,41,0,12.29,24.0,,,0 days 03:52:52.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-14 22:13:05,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,42,0,17.01,29.0,,,0 days 03:53:21.000000000,1.0,0.4833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 22:13:27,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,43,0,9.84,22.0,,,0 days 03:53:43.000000000,1.0,0.3666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 22:15:11,1.16.3,Free_feed,1,4.01,2.0,0,Pellet,Left,1,3,44,0,,104.0,,,0 days 03:55:27.000000000,1.0,1.7333333333333334,0.0,0.0,,0,Free_feed
2023-09-14 22:15:35,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,1,3,45,0,12.54,24.0,,,0 days 03:55:51.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-14 22:40:41,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,1,3,46,0,,1506.0,,,0 days 04:20:57.000000000,1.0,25.1,0.0,0.0,,0,Free_feed
2023-09-14 22:41:02,1.16.3,Free_feed,1,4.0,2.0,0,Pellet,Left,1,3,47,0,7.09,21.0,,,0 days 04:21:18.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 22:41:22,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,1,3,48,0,8.13,20.0,,,0 days 04:21:38.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 22:41:39,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,49,0,5.37,17.0,,,0 days 04:21:55.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 22:41:59,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,1,3,50,0,8.25,20.0,,,0 days 04:22:15.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 22:42:19,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,1,3,51,0,7.88,20.0,,,0 days 04:22:35.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 22:42:38,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,1,3,52,0,7.58,19.0,,,0 days 04:22:54.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 22:55:52,1.16.3,Free_feed,1,4.0,,0,Poke,Left,2,3,52,0,,,0.08,,0 days 04:36:08.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 23:04:20,1.16.3,Free_feed,1,4.0,,0,Poke,Left,3,3,52,0,,,0.84,,0 days 04:44:36.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 23:04:21,1.16.3,Free_feed,1,4.0,,0,Poke,Left,4,3,52,0,,,0.01,,0 days 04:44:37.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-14 23:04:27,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,53,0,,1309.0,,,0 days 04:44:43.000000000,1.0,21.816666666666663,0.0,0.0,,0,Free_feed
2023-09-14 23:04:46,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,54,0,7.4,19.0,,,0 days 04:45:02.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 23:05:08,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,55,0,9.97,22.0,,,0 days 04:45:24.000000000,1.0,0.3666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 23:05:38,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,56,0,17.95,30.0,,,0 days 04:45:54.000000000,1.0,0.5,0.0,0.0,,0,Free_feed
2023-09-14 23:05:58,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,57,0,8.2,20.0,,,0 days 04:46:14.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 23:06:16,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,58,0,5.8,18.0,,,0 days 04:46:32.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-14 23:06:39,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,59,0,10.89,23.0,,,0 days 04:46:55.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 23:07:00,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,60,0,9.42,21.0,,,0 days 04:47:16.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 23:07:20,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,61,0,8.07,20.0,,,0 days 04:47:36.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 23:19:09,1.16.3,Free_feed,1,4.0,2.0,0,Pellet,Left,4,3,62,0,,709.0,,,0 days 04:59:25.000000000,1.0,11.816666666666666,0.0,0.0,,0,Free_feed
2023-09-14 23:20:49,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,63,0,,100.0,,,0 days 05:01:05.000000000,1.0,1.6666666666666667,0.0,0.0,,0,Free_feed
2023-09-14 23:37:55,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,64,0,,1026.0,,,0 days 05:18:11.000000000,1.0,17.1,0.0,0.0,,0,Free_feed
2023-09-14 23:39:22,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,65,0,,87.0,,,0 days 05:19:38.000000000,1.0,1.45,0.0,0.0,,0,Free_feed
2023-09-14 23:39:39,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,66,0,6.11,17.0,,,0 days 05:19:55.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 23:40:08,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,67,0,16.6,29.0,,,0 days 05:20:24.000000000,1.0,0.4833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 23:40:49,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,68,0,29.62,41.0,,,0 days 05:21:05.000000000,1.0,0.6833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 23:41:13,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,4,3,69,0,12.73,24.0,,,0 days 05:21:29.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-14 23:41:33,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,4,3,70,0,7.39,20.0,,,0 days 05:21:49.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 23:56:56,1.16.3,Free_feed,1,4.0,,0,Poke,Left,5,3,70,0,,,0.12,,0 days 05:37:12.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-15 00:15:05,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,5,3,71,0,,2012.0,,,0 days 05:55:21.000000000,1.0,33.53333333333333,0.0,0.0,,0,Free_feed
2023-09-15 00:15:33,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,5,3,72,0,15.85,28.0,,,0 days 05:55:49.000000000,1.0,0.4666666666666667,0.0,0.0,,0,Free_feed
2023-09-15 00:15:50,1.16.3,Free_feed,1,4.0,2.0,0,Pellet,Left,5,3,73,0,2.99,17.0,,,0 days 05:56:06.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-15 00:16:09,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,5,3,74,0,7.03,19.0,,,0 days 05:56:25.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-15 00:16:34,1.16.3,Free_feed,1,4.0,2.0,0,Pellet,Left,5,3,75,0,10.7,25.0,,,0 days 05:56:50.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2023-09-15 00:16:52,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,5,3,76,0,5.37,18.0,,,0 days 05:57:08.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-15 00:20:18,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,5,3,77,0,,206.0,,,0 days 06:00:34.000000000,1.0,3.433333333333333,0.0,0.0,,0,Free_feed
2023-09-15 00:20:57,1.16.3,Free_feed,1,4.0,,0,Poke,Left,6,3,77,0,,,0.25,,0 days 06:01:13.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-15 00:49:54,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,6,3,78,0,,1776.0,,,0 days 06:30:10.000000000,1.0,29.6,0.0,0.0,,0,Free_feed
2023-09-15 00:50:10,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,6,3,79,0,3.72,16.0,,,0 days 06:30:26.000000000,1.0,0.2666666666666666,0.0,0.0,,0,Free_feed
2023-09-15 00:50:45,1.16.3,Free_feed,1,4.0,2.0,0,Pellet,Left,6,3,80,0,20.09,35.0,,,0 days 06:31:01.000000000,1.0,0.5833333333333334,0.0,0.0,,0,Free_feed
2023-09-15 00:51:02,1.16.3,Free_feed,1,4.0,3.0,0,Pellet,Left,6,3,81,0,1.82,17.0,,,0 days 06:31:18.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-15 00:51:22,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,6,3,82,0,7.03,20.0,,,0 days 06:31:38.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-15 00:51:40,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,6,3,83,0,6.72,18.0,,,0 days 06:31:56.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-15 00:52:04,1.16.3,Free_feed,1,4.0,2.0,0,Pellet,Left,6,3,84,0,9.42,24.0,,,0 days 06:32:20.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-15 01:00:09,1.16.3,Free_feed,1,4.0,,0,Poke,Left,7,3,84,0,,,0.13,,0 days 06:40:25.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2023-09-15 01:00:31,1.16.3,Free_feed,1,4.0,,0,Poke,Left,7,4,84,0,,,0.08,,0 days 06:40:47.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-09-15 01:04:18,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,7,4,85,0,,734.0,,,0 days 06:44:34.000000000,1.0,12.233333333333333,0.0,0.0,,0,Free_feed
2023-09-15 01:20:14,1.16.3,Free_feed,1,4.0,,0,Poke,Left,7,5,85,0,,,1.04,,0 days 07:00:30.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-09-15 01:22:13,1.16.3,Free_feed,1,4.0,,0,Poke,Left,7,6,85,0,,,0.91,,0 days 07:02:29.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2023-09-15 01:34:26,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,7,6,86,0,,1808.0,,,0 days 07:14:42.000000000,1.0,30.133333333333333,0.0,0.0,,0,Free_feed
2023-09-15 01:34:47,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,7,6,87,0,9.67,21.0,,,0 days 07:15:03.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-15 01:35:05,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,7,6,88,0,6.11,18.0,,,0 days 07:15:21.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2023-09-15 03:00:43,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,89,0,,5138.0,,,0 days 08:40:59.000000000,1.0,85.63333333333334,0.0,0.0,,0,Free_feed
2023-09-15 03:01:04,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,90,0,8.99,21.0,,,0 days 08:41:20.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-15 03:01:16,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,91,0,0.73,12.0,,,0 days 08:41:32.000000000,1.0,0.2,0.0,0.0,,0,Free_feed
2023-09-15 03:01:35,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,7,6,92,0,6.48,19.0,,,0 days 08:41:51.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-15 03:01:54,1.16.3,Free_feed,1,3.99,2.0,0,Pellet,Left,7,6,93,0,6.05,19.0,,,0 days 08:42:10.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-15 03:02:24,1.16.3,Free_feed,1,3.99,2.0,0,Pellet,Left,7,6,94,0,15.44,30.0,,,0 days 08:42:40.000000000,1.0,0.5,0.0,0.0,,0,Free_feed
2023-09-15 03:02:47,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,95,0,12.18,23.0,,,0 days 08:43:03.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-15 03:03:13,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,7,6,96,0,13.6,26.0,,,0 days 08:43:29.000000000,1.0,0.4333333333333333,0.0,0.0,,0,Free_feed
2023-09-15 03:03:34,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,7,6,97,0,9.48,21.0,,,0 days 08:43:50.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-15 03:23:11,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,98,0,,1177.0,,,0 days 09:03:27.000000000,1.0,19.616666666666667,0.0,0.0,,0,Free_feed
2023-09-15 03:23:35,1.16.3,Free_feed,1,3.99,3.0,0,Pellet,Left,7,6,99,0,7.28,24.0,,,0 days 09:03:51.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-15 03:24:00,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,100,0,14.15,25.0,,,0 days 09:04:16.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2023-09-15 03:24:28,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,101,0,16.23,28.0,,,0 days 09:04:44.000000000,1.0,0.4666666666666667,0.0,0.0,,0,Free_feed
2023-09-15 03:24:53,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,102,0,12.79,25.0,,,0 days 09:05:09.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2023-09-15 03:25:18,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,103,0,12.37,25.0,,,0 days 09:05:34.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2023-09-15 04:17:14,1.16.3,Free_feed,1,4.0,1.0,0,Pellet,Left,7,6,104,0,,3116.0,,,0 days 09:57:30.000000000,1.0,51.93333333333333,0.0,0.0,,0,Free_feed
2023-09-15 04:17:38,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,105,0,12.97,24.0,,,0 days 09:57:54.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-15 04:18:06,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,106,0,15.12,28.0,,,0 days 09:58:22.000000000,1.0,0.4666666666666667,0.0,0.0,,0,Free_feed
2023-09-15 04:18:30,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,107,0,12.67,24.0,,,0 days 09:58:46.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-15 04:18:57,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,108,0,15.31,27.0,,,0 days 09:59:13.000000000,1.0,0.45,0.0,0.0,,0,Free_feed
2023-09-15 04:19:25,1.16.3,Free_feed,1,3.99,1.0,0,Pellet,Left,7,6,109,0,16.11,28.0,,,0 days 09:59:41.000000000,1.0,0.4666666666666667,0.0,0.0,,0,Free_feed
